Produktionsstandort;Markt;Produktionskosten
Charleston;USA;81
Charleston;Südamerika;92
Charleston;Europa;101
Charleston;Asien;130
Charleston;Afrika;115
Curitiba;USA;117
Curitiba;Südamerika;77
Curitiba;Europa;108
Curitiba;Asien;98
Curitiba;Afrika;100
Hamburg;USA;102
Hamburg;Südamerika;105
Hamburg;Europa;95
Hamburg;Asien;119
Hamburg;Afrika;111
Quanzhou;USA;115
Quanzhou;Südamerika;125
Quanzhou;Europa;90
Quanzhou;Asien;59
Quanzhou;Afrika;74
East London;USA;142
East London;Südamerika;100
East London;Europa;103
East London;Asien;105
East London;Afrika;71